book_id,tag_id
1,30574
1,11305
1,11557
1,8717
1,33114
1,11743
1,14017
1,5207
1,22743
1,32989
1,27199
1,11590
1,18886
1,6953
1,22753
1,24960
1,1691
1,6857
1,15965
1,6888
1,26785
1,6828
1,2104
1,9221
1,20774
1,7457
1,25765
1,15169
1,3389
1,1128
1,6895
1,11505
1,17124
1,22034
1,11370
1,11497
1,19974
1,3392
1,22973
1,25234
1,20849
1,33009
1,29452
1,32623
1,10644
1,31617
1,5751
1,16427
1,5090
1,25152
1,29011
1,24964
1,20939
1,33012
1,14024
1,20824
1,22689
1,6960
1,18045
1,3371
1,33124
1,21989
1,615
1,26897
1,32654
1,11491
1,11550
1,25151
1,18851
1,16799
1,27535
1,17213
1,33165
1,26138
1,11574
1,30521
1,25150
1,30573
1,2106
1,6838
1,17129
1,10197
1,25770
1,8055
1,25167
1,1120
1,7852
1,26842
1,25153
1,10641
1,6920
1,11579
1,22352
1,20781
1,6914
1,5444
1,18913
1,11595
1,6829
1,24092
2,30574
2,8717
2,11305
2,11557
2,6857
2,6888
2,2104
2,9221
2,11743
2,33114
2,3389
2,5207
2,22034
2,17124
2,22743
2,11370
2,14017
2,11497
2,22973
2,20849
2,33009
2,29452
2,32623
2,31617
2,5751
2,16427
2,24964
2,29011
2,33012
2,6960
2,22689
2,32989
2,20939
2,14024
2,20824
2,18045
2,21989
2,3371
2,33124
2,32654
2,11491
2,26897
2,17213
2,11590
2,33165
2,11550
2,27535
2,16799
2,11574
2,25150
2,6838
2,17129
2,25153
2,22753
2,7852
2,26842
2,2106
2,6920
2,24960
2,10641
2,6914
2,6829
2,24092
2,11376
2,1120
2,18886
2,11595
2,14951
2,7404
2,609
2,18913
2,4834
2,14064
2,3379
2,1540
2,20547
2,26138
2,5776
2,25149
2,11340
2,26295
2,25147
2,25235
2,16805
2,11978
2,33121
2,25011
2,32996
2,5481
2,26771
2,11773
2,6976
2,3392
2,11643
2,11290
2,6949
2,5180
2,20125
2,33023
2,19983
3,30574
3,11557
3,11305
3,8717
3,33114
3,11743
3,14017
3,5207
3,22743
3,22743
3,32989
3,27199
3,11590
3,18886
3,6953
3,24960
3,6857
3,1691
3,22753
3,7457
3,6888
3,6828
3,25765
3,19974
3,15965
3,2104
3,26785
3,6895
3,17124
3,20774
3,3389
3,11505
3,9221
3,22034
3,1128
3,3392
3,15169
3,25152
3,11497
3,22973
3,25234
3,11370
3,24964
3,20849
3,25151
3,5090
3,10644
3,33009
3,32623
3,6960
3,5751
3,29452
3,31617
3,20939
3,3371
3,11550
3,29011
3,20824
3,18045
3,25150
3,21989
3,16427
3,25153
3,33012
3,11491
3,22689
3,14024
3,16799
3,17213
3,6838
3,32654
3,25770
3,17129
3,26897
3,24963
3,25167
3,33124
3,33165
3,24999
3,6920
3,7404
3,11574
3,6914
3,10197
3,30573
3,6829
3,8055
3,12600
3,25149
3,27535
3,22352
3,2106
3,11595
3,30521
3,26842
3,24997
3,10641
3,5444
3,11579
3,20781
5,11557
5,11305
5,8717
5,33114
5,30574
5,11743
5,14017
5,5207
5,22743
5,32989
5,11590
5,27199
5,18886
5,6953
5,24960
5,1691
5,22753
5,6857
5,15965
5,6888
5,6828
5,2104
5,26785
5,19974
5,7457
5,25765
5,20774
5,9221
5,3389
5,6895
5,11505
5,1128
5,17124
5,15169
5,22034
5,11497
5,3392
5,25234
5,11370
5,22973
5,25152
5,20849
5,33009
5,24964
5,10644
5,32623
5,31617
5,5751
5,5090
5,29452
5,16427
5,6960
5,25151
5,20939
5,29011
5,3371
5,27535
5,20824
5,18045
5,11491
5,30464
5,14024
5,22689
5,33012
5,21989
5,25150
5,16799
5,32654
5,26897
5,17213
5,33124
5,25153
5,11550
5,6838
5,11574
5,33165
5,25770
5,2106
5,17129
5,6920
5,6914
5,11579
5,25167
5,8055
5,10197
5,11595
5,30521
5,22352
5,6829
5,24999
5,30573
5,1120
5,26842
5,10641
5,25149
5,20781
5,32345
5,12600
5,3379
5,5444
6,11305
6,33114
6,11743
6,14017
6,22743
6,32989
6,27199
6,11590
6,6953
6,24960
6,22753
6,1691
6,6857
6,15965
6,6888
6,26785
6,2104
6,7457
6,20774
6,25765
6,9221
6,3389
6,6895
6,1128
6,19974
6,15169
6,17124
6,11505
6,22034
6,3392
6,11370
6,25234
6,11497
6,22973
6,33009
6,20849
6,25152
6,9882
6,29452
6,24964
6,31617
6,32623
6,10644
6,5751
6,16427
6,5090
6,20939
6,29011
6,6960
6,14024
6,25151
6,3371
6,27535
6,33012
6,18045
6,20824
6,22689
6,21989
6,32654
6,33124
6,11491
6,26897
6,17213
6,11550
6,33165
6,16799
6,25150
6,6838
6,25153
6,25770
6,11574
6,17129
6,30521
6,10197
6,2106
6,30573
6,26842
6,8055
6,30574
6,7852
6,10641
6,6914
6,6920
6,6829
6,1120
6,22352
6,25167
6,20781
6,12600
6,24999
6,11579
6,11595
6,29190
6,24092
6,25149
6,7404
6,5444
6,11376
6,3379
6,26256
8,30574
8,11557
8,11305
8,8717
8,14017
8,33114
8,11743
8,18886
8,22743
8,27199
8,32989
8,5207
8,15965
8,11590
8,29011
8,1691
8,6857
8,6895
8,6953
8,6828
8,27535
8,26785
8,7457
8,11505
8,22034
8,22973
8,32623
8,31617
8,30521
8,2104
8,9221
8,20774
8,29452
8,20939
8,32654
8,18680
8,5557
8,6888
8,15169
8,1128
8,19974
8,16427
8,20824
8,33165
8,18640
8,21928
8,22545
8,3687
8,9882
8,15048
8,14092
8,24960
8,33009
8,10644
8,5751
8,5090
8,14024
8,26897
8,11491
8,11574
8,25150
8,8055
8,1120
8,26842
8,14008
8,14064
8,11367
8,10731
8,2218
8,8067
8,30358
