user_id,book_id
1,7046
1,4873
1,325
1,3199
1,9967
1,4386
1,6247
1,225
1,7436
1,8803
1,6006
1,663
1,5121
1,7035
1,457
1,3398
1,9365
1,3829
1,9505
1,7483
1,1469
1,890
1,3327
1,8563
2,7671
2,8918
2,4667
2,1725
2,6089
2,1712
2,6133
2,7463
2,6666
2,6866
2,4968
2,4494
2,6644
2,4884
2,8239
2,2981
2,1101
2,1111
2,960
2,9170
2,5119
2,6573
2,8693
2,858
2,8471
2,4811
2,2246
2,3159
2,4291
2,5071
2,5925
2,4960
2,6864
2,1756
2,4691
3,8337
3,3588
3,2736
3,7559
3,424
3,5648
3,4126
3,6313
3,4156
3,8273
3,6604
3,387
3,7295
3,3884
3,1077
3,1963
3,9320
3,6689
3,3650
3,4684
3,5737
3,2876
3,6200
3,2388
3,8474
3,2785
3,5386
3,2273
3,4733
3,9318
3,3878
3,5648
3,6315
3,5085
3,7822
3,9614
3,6574
3,9756
3,4157
3,4052
3,2037
3,591
3,7477
3,7081
3,6079
3,630
3,9547
3,6374
3,1225
3,6273
4,1997
4,1194
4,1851
4,4489
4,5559
4,1170
4,898
4,7651
4,3275
4,5351
4,1618
4,8723
4,7195
4,5113
4,8375
4,7599
4,4037
4,3120
4,4155
4,3218
4,509
4,508
4,1613
4,529
4,4913
4,2702
4,1519
4,6289
4,6289
4,8776
4,7054
4,2808
4,8226
4,8454
4,243
4,3423
4,9947
4,1558
4,8819
4,6267
4,8624
4,1425
4,6915
4,9826
4,3239
4,3143
4,8608
4,1449
5,5257
5,7802
5,7764
5,5630
5,4202
5,2650
5,4311
5,2930
5,8182
5,7889
5,3648
5,6185
5,4890
5,5646
5,6908
5,4287
5,2825
5,9075
5,2603
5,2655
5,55
5,783
5,9738
5,2170
5,2592
5,4181
5,2837
5,7027
5,3095
5,2346
5,3290
5,9971
5,9573
5,7828
5,284
5,7043
5,199
5,2524
5,6404
5,9339
5,9845
5,901
5,5469
5,4456
5,328
5,4434
5,1440
5,919
5,1963
5,4704
5,6764
5,6261
5,8881
5,7530
5,3848
5,2913
5,7378
6,1061
6,6465
6,5877
6,1461
6,9133
6,4901
6,5012
6,6552
6,8967
6,8354
6,7487
6,2780
6,566
6,501
6,891
6,1503
6,2781
6,8554
6,9020
6,424
6,361
6,3644
6,4445
6,8469
6,1715
6,5064
6,7635
6,1202
6,4144
6,369
6,3532
6,4729
6,2449
6,921
